title,link,source
"Pavilion AD Classics: Nordic Pavilion, Venice / Sverre Fehn",https://www.archdaily.com/784536/ad-classics-nordic-pavilion-in-venice-sverre-fehn?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion ELEMENT´U Pavilion / Camilo Rebelo + Jiani Huang + RAC Studio,https://www.archdaily.com/1028286/elementu-pavilion-camilo-rebelo-plus-jiani-huang-plus-rac-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Mitsubishi Pavilion (Expo 2025) / Mitsubishi Jisho Design,https://www.archdaily.com/1028274/mitsubishi-pavilion-expo-2025-mitsubishi-jisho-design?ad_source=search&ad_medium=projects_tab,ArchDaily
Landscape Architecture Jinji Lake Pavilion / BIG,https://www.archdaily.com/1027184/jinji-lake-pavilion-big?ad_source=search&ad_medium=projects_tab,ArchDaily
"Pavilion La Sal Pavilion / CHS+R arquitectos (José Rodríguez, Antonio Herrero y Juan Suárez) + Carlos Montes",https://www.archdaily.com/1027034/la-sal-pavilion-chs-plus-r-arquitectos-jose-rodriguez-antonio-herrero-y-juan-suarez-plus-carlos-montes?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Building Beyond Pastorie Pavilion / Building Beyond Borders Hasselt University,https://www.archdaily.com/1025892/building-beyond-pastorie-pavilion-building-beyond-borders-hasselt-university?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion AlMusalla at the Islamic Arts Biennale / East Architecture Studio,https://www.archdaily.com/1026283/on-weaving-pavilion-almusalla-east-architecture-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion COMPLUVIUM Pavilion / P+S Estudio de Arquitectura,https://www.archdaily.com/1024868/compluvium-pavilion-p-plus-s-estudio-de-arquitectura?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion SUPRA* Pavilion / SO? Architecture and Ideas,https://www.archdaily.com/1025166/supra-star-pavilion-so-architecture-and-ideas?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Pavilion / STUDIO PIPPA,https://www.archdaily.com/1024294/pavilion-studio-pippa?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Curtain Call Pavilion / office office,https://www.archdaily.com/1024777/curtain-call-office-office?ad_source=search&ad_medium=projects_tab,ArchDaily
Chapel the Breeze Hall / SHISUO design office,https://www.archdaily.com/1023623/the-breeze-hall-shisuo-design-office?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture The Nuhad Es-Said Pavilion for Culture / Raed Abillama Architects,https://www.archdaily.com/1023342/the-nuhad-es-said-pavilion-for-culture-raed-abillama-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Unexpected Reflections / Miguel de la Torre mta+v,https://www.archdaily.com/1023204/unexpected-reflections-miguel-de-la-torre-mta-plus-v?ad_source=search&ad_medium=projects_tab,ArchDaily
Mixed Use Architecture SEED GREEN: Hwadam Pavilion / bananafish,https://www.archdaily.com/1023140/seed-green-hwadam-pavilion-bananafish?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Aichermagazin Pavilion / Schnell&co architektur + Atelier Sunder-Plassmann,https://www.archdaily.com/1022883/aichermagazin-allgau-schwarzweiss-schnell-and-co-architekulabor-plus-atelier-sunder-plassmann?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Vert Installation / Diez Office + OMC°C,https://www.archdaily.com/1022488/vert-installation-diez-office-plus-omc-degrees-c?ad_source=search&ad_medium=projects_tab,ArchDaily
Urbanism Hangzhou Riverfront Public Space - the Yinxing Station & the Daqiao Station / TJAD Original Design Studio,https://www.archdaily.com/1022133/hangzhou-riverfront-public-space-the-yinxing-station-and-the-daqiao-station-tjad-original-design-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Folie Pavilions / IR arquitectura + Estudio Bulla + Pieza,https://www.archdaily.com/1021753/folie-pavilions-ir-arquitectura-plus-estudio-bulla-plus-pieza?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Kanna Pavilion / Laure Friès Architecture,https://www.archdaily.com/1021445/kanna-pavillion-laure-fries-architecture?ad_source=search&ad_medium=projects_tab,ArchDaily
Coffee Shop Xingcheng Exhibition Garden / Archermit,https://www.archdaily.com/1021182/xingcheng-exhibition-garden-archermit?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Shapes of Rain Installation / FAR-MS,https://www.archdaily.com/1021401/shapes-of-rain-installation-far-ms?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Pavilion Atlas / Praktika,https://www.archdaily.com/1020566/pavilion-atlas?ad_source=search&ad_medium=projects_tab,ArchDaily
Urbanism La Suie Cabin / Marina Poli + Philippe Paumelle + Richard Trézeux,https://www.archdaily.com/1020399/la-suie-cabin-marina-poli-plus-philippe-paumelle-plus-richard-trezeux?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Triangular Pavilion / Enrico Dusi Studio,https://www.archdaily.com/1020081/triangular-pavilion-enrico-dusi-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Turku Market Square Pavilions / Schauman & Nordgren Architects + Arco Architecture,https://www.archdaily.com/1019645/turku-market-square-pavilions-schauman-and-nordgren-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Green Experience Center in Luisenpark / Bez+Kock Architekten,https://www.archdaily.com/1004486/green-experience-center-in-luisenpark-bez-plus-kock-architekten?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Raw Threshold / Al Borde,https://www.archdaily.com/1019460/umbral-crudo-pavilion-al-borde?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion 3 to 1 Pavilion / TEMP,https://www.archdaily.com/1019135/3-to-1-pavilion-temp?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Blue House / Wei Chieh Kung + Lydia Ya Chu Chang,https://www.archdaily.com/1019285/blue-house-wei-chieh-kung-plus-lydia-ya-chu-chang?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Four Public Pavilions / Aurelien Chen + CSCEC,https://www.archdaily.com/1019225/four-public-pavilions-aurelien-chen-plus-cscec?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion 3dPA Forest Campus / IAAC - 3dPA,https://www.archdaily.com/1019160/3dpa-forest-campus-iaac-3dpa?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture MAXXI NXT Pavilion / Grazzini Tonazzini + Giorgia Colombo Architetto,https://www.archdaily.com/1018867/maxxi-nxt-pavilion-grazzini-tonazzini-plus-giorgia-colombo-architetto?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Free Air Pavilion / Daryan Knoblauch,https://www.archdaily.com/1018679/free-air-pavilion-daryan-knoblauch?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures The Tara Thiwakorn Pavilion / Rural Development Volunteer Camp,https://www.archdaily.com/1018665/the-tara-thiwakorn-pavilion-rural-development-volunteer-camp?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion The Tower of Balance / Bangkok Project Studio,https://www.archdaily.com/1018215/the-tower-of-balance-bangkok-project-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Enfold Pavilion / Imaginary Objects,https://www.archdaily.com/1018111/enfold-pavilion-imaginary-objects?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture The Learning Architecture for Learners Welcome Center / VUILD Inc.,https://www.archdaily.com/1018050/the-learning-architecture-for-learners-welcome-center-vuild-inc?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion The Candelabro Floating Cultural Platform / Natura Futura,https://www.archdaily.com/1017959/the-candelabro-floating-cultural-platform-natura-futura-arquitectura?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Dr. Yen-Son Huang Courtyard / JC. Architecture & Design,https://www.archdaily.com/1017727/dr-yen-son-huang-courtyard-jc-architecture-and-design?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Hybrid Flax Pavilion / ICD/ITKE/IntCDC University of Stuttgart,https://www.archdaily.com/1017579/hybrid-flax-pavilion-icd-itke-intcdc-university-of-stuttgart?ad_source=search&ad_medium=projects_tab,ArchDaily
"Installations & Structures People Pavilion, Elevated Ground / sp/n + nerd studio",https://www.archdaily.com/1017495/people-pavilion-elevated-ground-sp-n?ad_source=search&ad_medium=projects_tab,ArchDaily
"Pavilion Ecological Matrix, Breathing Net Pavilion / Soltozibin Architects",https://www.archdaily.com/1017343/ecological-matrix-breathing-net-pavilion-soltozibin-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Trestle Pavilion / STUDIO TERRATECTS,https://www.archdaily.com/1017231/trestle-pavilion-studio-terratects?ad_source=search&ad_medium=projects_tab,ArchDaily
Coffee Shop Jinji Lake Pavilion / Galaxy Arch,https://www.archdaily.com/1017140/jinji-lake-pavilion-galaxy-arch?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Quin Pavilion / Idee architects,https://www.archdaily.com/1016762/quin-pavilion-idee-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Mixed Use Architecture The Diwan Pavilion / AXIA Design Associates + Arriz + Co. + Kasian Architecture Interior Design & Planning,https://www.archdaily.com/989925/the-diwan-hall-axia-design-associates-plus-arriz-plus-co-plus-kasian-architecture-interior-design-and-planning?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Olevodroom Pavilion / Decoratelier Jozef Wouters,https://www.archdaily.com/1016442/olevodroom-decoratelier-jozef-wouters?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Off-Season Pavilion / KOSMOS Architects,https://www.archdaily.com/1016144/off-season-pavilion-kosmos-architektur-and-design?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Chou No Hane Meditation Pavilion / Atelier LAVIT,https://www.archdaily.com/1015606/chou-no-hane-meditation-pavilion-atelier-lavit?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Citadel of Cairo: Seat of Design Power Pavilion / Dar Arafa Architecture,https://www.archdaily.com/1015357/citadel-of-cairo-seat-of-design-power-pavilion-dar-arafa-architecture?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Situaciones de Estar Pavilion / Veintedoce Arquitectura,https://www.archdaily.com/1015077/situaciones-de-estar-pavilion-veintedoce-arquitectura?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures From This Earth Installation / Karim+Elias,https://www.archdaily.com/1014728/from-this-earth-installation-karim-plus-elias?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion The Bull Cooking School / Chiangmai Life Architects,https://www.archdaily.com/1014519/the-bull-cooking-school-chiangmai-life-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture BEHIND the SCENES Pavilion / LIJO RENY architects,https://www.archdaily.com/1014254/behind-the-scenes-pavilion-lijo-reny-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
"Installations & Structures Corredor 963 Pavilion / Centro de Estudios Superiores de Diseño de Monterrey, CEDIM",https://www.archdaily.com/1014217/corredor-963-pavilion-centro-de-estudios-superiores-de-diseno-de-monterrey-cedim?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Entry Pavilion / Metrics Architecture Studio,https://www.archdaily.com/1013689/entry-pavilion-metrics-architecture-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Chrysalis Entrance Pavilion / Cave Urban,https://www.archdaily.com/1013786/chrysalis-entrance-pavilion-cave-urban?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Flourish Pavilion / Studio A-Light,https://www.archdaily.com/1013680/flourish-pavilion-studio-a-light?ad_source=search&ad_medium=projects_tab,ArchDaily
Installation Taipei International Book Exhibition – Netherlands Pavilion / MVRDV,https://www.archdaily.com/1013665/taipei-international-book-exhibition-netherlands-pavilion-mvrdv?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Temporary Pavilion W&T / Ilhéu Atelier,https://www.archdaily.com/1013264/temporary-pavilion-w-and-t-ilheu-atelier?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Orchid Pavilion / CCA | Bernardo Quinzaños,https://www.archdaily.com/1013268/orchid-pavilion-cca-centro-de-colaboracion-arquitectonica?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion EU-02X Pavilion / (ab)NORMAL,https://www.archdaily.com/995385/eu-02x-pavilion-ab-normal?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Dutch Pavilion Dubai / V8 Architects,https://www.archdaily.com/1012728/dutch-pavilion-dubai-v8-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures NorthEast Bamboo Pavilion / atArchitecture,https://www.archdaily.com/1012722/northeast-bamboo-pavilion-atarchitecture?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion ASA LANNA Pavilion / Yangnar Studio,https://www.archdaily.com/1012565/asa-lanna-pavilion-yangnar-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Public Space Hiyoshi Pavilion / Jorge Almazán + Keio University Studiolab,https://www.archdaily.com/1012160/hiyoshi-pavilion-jorge-almazan-plus-keio-university-studiolab?ad_source=search&ad_medium=projects_tab,ArchDaily
